+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
|        5        | 12 |        4        |                [2]                 |      1      | 2.193450927734375e-05  |
|        5        | 25 |        4        |                [2]                 |      1      | 8.821487426757812e-06  |
|        5        | 50 |        4        |                [2]                 |      1      | 6.9141387939453125e-06 |
|        5        | 75 |        5        |               [2, 3]               |      2      | 8.106231689453125e-06  |
|        6        | 12 |        5        |                [2]                 |      1      | 1.0013580322265625e-05 |
|        6        | 25 |        5        |                [2]                 |      1      | 9.298324584960938e-06  |
|        6        | 50 |        6        |                [2]                 |      1      | 9.775161743164062e-06  |
|        6        | 75 |        8        |               [2, 3]               |      2      | 1.0967254638671875e-05 |
|        7        | 12 |        6        |                [2]                 |      1      | 1.0967254638671875e-05 |
|        7        | 25 |        6        |                [2]                 |      1      | 1.0013580322265625e-05 |
|        7        | 50 |        9        |               [2, 3]               |      2      | 1.4066696166992188e-05 |
|        7        | 75 |        12       |                [3]                 |      1      | 7.009506225585938e-05  |
|        8        | 12 |        7        |                [2]                 |      1      | 4.076957702636719e-05  |
|        8        | 25 |        7        |                [2]                 |      1      | 8.893013000488281e-05  |
|        8        | 50 |        12       |             [2, 3, 4]              |      3      | 4.601478576660156e-05  |
|        8        | 75 |        14       |             [2, 3, 4]              |      3      | 4.696846008300781e-05  |
|        9        | 12 |        8        |                [2]                 |      1      | 4.029273986816406e-05  |
|        9        | 25 |        8        |                [2]                 |      1      | 3.790855407714844e-05  |
|        9        | 50 |        14       |               [2, 3]               |      2      | 5.316734313964844e-05  |
|        9        | 75 |        17       |             [2, 3, 4]              |      3      | 7.224082946777344e-05  |
|        10       | 12 |        9        |                [2]                 |      1      | 4.7206878662109375e-05 |
|        10       | 25 |        11       |               [2, 3]               |      2      | 0.0007050037384033203  |
|        10       | 50 |        18       |               [2, 3]               |      2      | 7.009506225585938e-05  |
|        10       | 75 |        24       |               [3, 4]               |      2      | 8.821487426757812e-05  |
|        11       | 12 |        10       |                [2]                 |      1      | 5.1975250244140625e-05 |
|        11       | 25 |        12       |                [2]                 |      1      | 5.507469177246094e-05  |
|        11       | 50 |        19       |               [2, 3]               |      2      | 6.985664367675781e-05  |
|        11       | 75 |        27       |             [2, 3, 4]              |      3      | 9.512901306152344e-05  |
|        12       | 12 |        11       |                [2]                 |      1      | 9.179115295410156e-05  |
|        12       | 25 |        15       |               [2, 3]               |      2      | 6.508827209472656e-05  |
|        12       | 50 |        28       |             [2, 3, 4]              |      3      | 9.989738464355469e-05  |
|        12       | 75 |        39       |               [4, 5]               |      2      |  0.00014495849609375   |
|        13       | 12 |        12       |                [2]                 |      1      | 6.508827209472656e-05  |
|        13       | 25 |        18       |               [2, 3]               |      2      | 7.796287536621094e-05  |
|        13       | 50 |        32       |               [3, 4]               |      2      | 0.0001881122589111328  |
|        13       | 75 |        42       |            [3, 4, 5, 6]            |      4      | 0.00013494491577148438 |
|        14       | 12 |        13       |                [2]                 |      1      |    6.103515625e-05     |
|        14       | 25 |        20       |               [2, 3]               |      2      | 7.987022399902344e-05  |
|        14       | 50 |        33       |             [2, 3, 4]              |      3      | 0.0001232624053955078  |
|        14       | 75 |        45       |             [2, 3, 4]              |      3      | 0.0002448558807373047  |
|        15       | 12 |        14       |                [2]                 |      1      | 6.580352783203125e-05  |
|        15       | 25 |        25       |               [2, 3]               |      2      | 9.703636169433594e-05  |
|        15       | 50 |        44       |             [2, 3, 4]              |      3      | 0.0023920536041259766  |
