+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
|        5        | 12.5 |        1        |  12.5 | 0  |     False      |        4         |  8.20159912109375e-05  |    0.0    |
|        5        | 12.5 |        1        |   25  | 1  |     False      |        4         |  4.1961669921875e-05   |    0.0    |
|        5        | 12.5 |        1        |   50  | 2  |      True      |        4         | 3.910064697265625e-05  |    0.0    |
|        5        | 12.5 |        1        |   75  | 3  |     False      |        4         | 3.409385681152344e-05  |    0.0    |
|        5        |  25  |        2        |  12.5 | 0  |     False      |        6         | 4.792213439941406e-05  |    0.0    |
|        5        |  25  |        2        |   25  | 1  |     False      |        6         | 3.886222839355469e-05  |    0.0    |
|        5        |  25  |        2        |   50  | 2  |      True      |        6         |   3.814697265625e-05   |    0.0    |
|        5        |  25  |        2        |   75  | 3  |     False      |        6         |  4.1961669921875e-05   |    0.0    |
|        5        |  50  |        5        |  12.5 | 0  |     False      |        10        | 5.793571472167969e-05  |    0.0    |
|        5        |  50  |        5        |   25  | 1  |     False      |        10        | 4.982948303222656e-05  |    0.0    |
|        5        |  50  |        5        |   50  | 2  |      True      |        10        | 4.601478576660156e-05  |    0.0    |
|        5        |  50  |        5        |   75  | 3  |     False      |        10        | 4.7206878662109375e-05 |    0.0    |
|        5        |  75  |        8        |  12.5 | 0  |     False      |        12        | 6.794929504394531e-05  |    0.0    |
|        5        |  75  |        8        |   25  | 1  |     False      |        12        | 5.626678466796875e-05  |    0.0    |
|        5        |  75  |        8        |   50  | 2  |     False      |        12        | 5.412101745605469e-05  |    0.0    |
|        5        |  75  |        8        |   75  | 3  |      True      |        12        | 5.412101745605469e-05  |    0.0    |
|        6        | 12.5 |        2        |  12.5 | 0  |     False      |        6         | 4.982948303222656e-05  |    0.0    |
|        6        | 12.5 |        2        |   25  | 1  |     False      |        6         | 3.695487976074219e-05  |    0.0    |
|        6        | 12.5 |        2        |   50  | 3  |     False      |        6         | 3.719329833984375e-05  |    0.0    |
|        6        | 12.5 |        2        |   75  | 4  |     False      |        6         | 3.6716461181640625e-05 |    0.0    |
|        6        |  25  |        4        |  12.5 | 0  |     False      |        10        | 5.507469177246094e-05  |    0.0    |
|        6        |  25  |        4        |   25  | 1  |     False      |        10        | 4.8160552978515625e-05 |    0.0    |
|        6        |  25  |        4        |   50  | 3  |     False      |        10        | 4.7206878662109375e-05 |    0.0    |
|        6        |  25  |        4        |   75  | 4  |     False      |        10        | 4.982948303222656e-05  |    0.0    |
|        6        |  50  |        8        |  12.5 | 0  |     False      |        16        | 7.510185241699219e-05  |    0.0    |
|        6        |  50  |        8        |   25  | 1  |     False      |        16        |  6.29425048828125e-05  |    0.0    |
|        6        |  50  |        8        |   50  | 3  |      True      |        16        |    6.103515625e-05     |    0.0    |
|        6        |  50  |        8        |   75  | 4  |     False      |        16        | 6.389617919921875e-05  |    0.0    |
|        6        |  75  |        11       |  12.5 | 0  |     False      |        17        | 7.486343383789062e-05  |    0.0    |
|        6        |  75  |        11       |   25  | 1  |     False      |        17        | 6.914138793945312e-05  |    0.0    |
|        6        |  75  |        11       |   50  | 3  |      True      |        17        | 6.175041198730469e-05  |    0.0    |
|        6        |  75  |        11       |   75  | 4  |     False      |        17        | 6.604194641113281e-05  |    0.0    |
|        7        | 12.5 |        3        |  12.5 | 0  |     False      |        8         | 5.3882598876953125e-05 |    0.0    |
|        7        | 12.5 |        3        |   25  | 1  |     False      |        8         | 4.315376281738281e-05  |    0.0    |
|        7        | 12.5 |        3        |   50  | 3  |     False      |        8         | 0.00010085105895996094 |    0.0    |
|        7        | 12.5 |        3        |   75  | 5  |     False      |        8         |   4.57763671875e-05    |    0.0    |
|        7        |  25  |        5        |  12.5 | 0  |     False      |        12        | 0.00024509429931640625 |    0.0    |
|        7        |  25  |        5        |   25  | 1  |     False      |        12        | 8.487701416015625e-05  |    0.0    |
|        7        |  25  |        5        |   50  | 3  |     False      |        12        | 0.0002739429473876953  |    0.0    |
|        7        |  25  |        5        |   75  | 5  |     False      |        12        | 8.821487426757812e-05  |    0.0    |
|        7        |  50  |        10       |  12.5 | 0  |     False      |        18        | 7.486343383789062e-05  |    0.0    |
|        7        |  50  |        10       |   25  | 1  |     False      |        18        | 0.00029397010803222656 |    0.0    |
|        7        |  50  |        10       |   50  | 3  |      True      |        18        | 6.580352783203125e-05  |    0.0    |
|        7        |  50  |        10       |   75  | 5  |     False      |        18        | 6.413459777832031e-05  |    0.0    |
|        7        |  75  |        16       |  12.5 | 0  |     False      |        18        | 0.00010514259338378906 |    0.0    |
|        7        |  75  |        16       |   25  | 1  |     False      |        18        | 3.0040740966796875e-05 |    0.0    |
|        7        |  75  |        16       |   50  | 3  |      True      |        18        | 2.5033950805664062e-05 |    0.0    |
|        7        |  75  |        16       |   75  | 5  |     False      |        18        |  2.47955322265625e-05  |    0.0    |
|        8        | 12.5 |        4        |  12.5 | 1  |     False      |        10        | 2.3126602172851562e-05 |    0.0    |
|        8        | 12.5 |        4        |   25  | 2  |      True      |        10        | 2.6941299438476562e-05 |    0.0    |
|        8        | 12.5 |        4        |   50  | 4  |     False      |        10        | 2.6226043701171875e-05 |    0.0    |
|        8        | 12.5 |        4        |   75  | 6  |     False      |        10        | 1.7881393432617188e-05 |    0.0    |
|        8        |  25  |        7        |  12.5 | 1  |     False      |        16        | 2.8848648071289062e-05 |    0.0    |
|        8        |  25  |        7        |   25  | 2  |      True      |        16        | 2.193450927734375e-05  |    0.0    |
|        8        |  25  |        7        |   50  | 4  |     False      |        16        | 1.8835067749023438e-05 |    0.0    |
|        8        |  25  |        7        |   75  | 6  |     False      |        16        | 1.7881393432617188e-05 |    0.0    |
|        8        |  50  |        14       |  12.5 | 1  |     False      |        24        | 3.0994415283203125e-05 |    0.0    |
|        8        |  50  |        14       |   25  | 2  |      True      |        24        | 2.8848648071289062e-05 |    0.0    |
|        8        |  50  |        14       |   50  | 4  |     False      |        24        |   2.288818359375e-05   |    0.0    |
|        8        |  50  |        14       |   75  | 6  |     False      |        24        | 2.384185791015625e-05  |    0.0    |
|        8        |  75  |        21       |  12.5 | 1  |     False      |        31        |  4.00543212890625e-05  |    0.0    |
|        8        |  75  |        21       |   25  | 2  |     False      |        31        | 3.1948089599609375e-05 |    0.0    |
|        8        |  75  |        21       |   50  | 4  |      True      |        31        | 3.409385681152344e-05  |    0.0    |
|        8        |  75  |        21       |   75  | 6  |     False      |        31        | 3.314018249511719e-05  |    0.0    |
|        9        | 12.5 |        4        |  12.5 | 1  |     False      |        9         | 1.9788742065429688e-05 |    0.0    |
|        9        | 12.5 |        4        |   25  | 2  |      True      |        9         | 1.3113021850585938e-05 |    0.0    |
|        9        | 12.5 |        4        |   50  | 4  |     False      |        9         | 1.6927719116210938e-05 |    0.0    |
|        9        | 12.5 |        4        |   75  | 6  |     False      |        9         | 1.1920928955078125e-05 |    0.0    |
|        9        |  25  |        9        |  12.5 | 1  |     False      |        19        | 2.4080276489257812e-05 |    0.0    |
|        9        |  25  |        9        |   25  | 2  |      True      |        19        | 1.9788742065429688e-05 |    0.0    |
|        9        |  25  |        9        |   50  | 4  |     False      |        19        | 2.002716064453125e-05  |    0.0    |
|        9        |  25  |        9        |   75  | 6  |     False      |        19        |  1.9073486328125e-05   |    0.0    |
|        9        |  50  |        18       |  12.5 | 1  |     False      |        26        | 3.314018249511719e-05  |    0.0    |
|        9        |  50  |        18       |   25  | 2  |      True      |        26        | 2.9802322387695312e-05 |    0.0    |
|        9        |  50  |        18       |   50  | 4  |      True      |        26        | 2.7179718017578125e-05 |    0.0    |
|        9        |  50  |        18       |   75  | 6  |     False      |        26        | 2.7179718017578125e-05 |    0.0    |
|        9        |  75  |        27       |  12.5 | 1  |     False      |        34        | 4.315376281738281e-05  |    0.0    |
|        9        |  75  |        27       |   25  | 2  |      True      |        34        | 3.3855438232421875e-05 |    0.0    |
|        9        |  75  |        27       |   50  | 4  |      True      |        34        | 3.528594970703125e-05  |    0.0    |
|        9        |  75  |        27       |   75  | 6  |     False      |        34        | 3.314018249511719e-05  |    0.0    |
|        10       | 12.5 |        6        |  12.5 | 1  |     False      |        13        |   2.288818359375e-05   |    0.0    |
|        10       | 12.5 |        6        |   25  | 2  |      True      |        13        | 1.5735626220703125e-05 |    0.0    |
|        10       | 12.5 |        6        |   50  | 5  |     False      |        13        | 1.6689300537109375e-05 |    0.0    |
|        10       | 12.5 |        6        |   75  | 7  |     False      |        13        |   1.52587890625e-05    |    0.0    |
|        10       |  25  |        11       |  12.5 | 1  |     False      |        21        | 2.6226043701171875e-05 |    0.0    |
|        10       |  25  |        11       |   25  | 2  |      True      |        21        | 2.193450927734375e-05  |    0.0    |
|        10       |  25  |        11       |   50  | 5  |     False      |        21        | 2.6226043701171875e-05 |    0.0    |
|        10       |  25  |        11       |   75  | 7  |     False      |        21        |  2.09808349609375e-05  |    0.0    |
|        10       |  50  |        22       |  12.5 | 1  |     False      |        33        | 3.719329833984375e-05  |    0.0    |
|        10       |  50  |        22       |   25  | 2  |      True      |        33        | 3.314018249511719e-05  |    0.0    |
|        10       |  50  |        22       |   50  | 5  |     False      |        33        | 3.1948089599609375e-05 |    0.0    |
|        10       |  50  |        22       |   75  | 7  |     False      |        33        | 3.0994415283203125e-05 |    0.0    |
|        10       |  75  |        34       |  12.5 | 1  |     False      |        56        | 5.984306335449219e-05  |    0.0    |
|        10       |  75  |        34       |   25  | 2  |     False      |        56        | 5.1975250244140625e-05 |    0.0    |
|        10       |  75  |        34       |   50  | 5  |      True      |        56        | 5.1975250244140625e-05 |    0.0    |
|        10       |  75  |        34       |   75  | 7  |     False      |        56        | 5.2928924560546875e-05 |    0.0    |
|        11       | 12.5 |        7        |  12.5 | 1  |     False      |        16        | 2.3603439331054688e-05 |    0.0    |
|        11       | 12.5 |        7        |   25  | 2  |      True      |        16        | 1.9311904907226562e-05 |    0.0    |
|        11       | 12.5 |        7        |   50  | 5  |     False      |        16        |  1.9073486328125e-05   |    0.0    |
|        11       | 12.5 |        7        |   75  | 8  |     False      |        16        | 3.3855438232421875e-05 |    0.0    |
|        11       |  25  |        14       |  12.5 | 1  |     False      |        27        |  3.62396240234375e-05  |    0.0    |
|        11       |  25  |        14       |   25  | 2  |      True      |        27        | 3.1948089599609375e-05 |    0.0    |
|        11       |  25  |        14       |   50  | 5  |     False      |        27        | 2.9802322387695312e-05 |    0.0    |
|        11       |  25  |        14       |   75  | 8  |     False      |        27        | 2.6941299438476562e-05 |    0.0    |
|        11       |  50  |        28       |  12.5 | 1  |     False      |        34        | 4.696846008300781e-05  |    0.0    |
|        11       |  50  |        28       |   25  | 2  |      True      |        34        | 3.5762786865234375e-05 |    0.0    |
|        11       |  50  |        28       |   50  | 5  |     False      |        34        | 3.504753112792969e-05  |    0.0    |
|        11       |  50  |        28       |   75  | 8  |     False      |        34        | 3.2901763916015625e-05 |    0.0    |
|        11       |  75  |        41       |  12.5 | 1  |     False      |        54        | 5.793571472167969e-05  |    0.0    |
|        11       |  75  |        41       |   25  | 2  |     False      |        54        | 5.1975250244140625e-05 |    0.0    |
|        11       |  75  |        41       |   50  | 5  |      True      |        54        | 4.887580871582031e-05  |    0.0    |
|        11       |  75  |        41       |   75  | 8  |     False      |        54        | 4.887580871582031e-05  |    0.0    |
|        12       | 12.5 |        8        |  12.5 | 1  |     False      |        18        | 2.193450927734375e-05  |    0.0    |
|        12       | 12.5 |        8        |   25  | 3  |     False      |        18        |  2.09808349609375e-05  |    0.0    |
|        12       | 12.5 |        8        |   50  | 6  |     False      |        18        | 1.9311904907226562e-05 |    0.0    |
|        12       | 12.5 |        8        |   75  | 9  |     False      |        18        | 1.7881393432617188e-05 |    0.0    |
|        12       |  25  |        16       |  12.5 | 1  |     False      |        29        | 3.2901763916015625e-05 |    0.0    |
