Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
5,12,4,0,10,4.482269287109375e-05,0.0
5,25,4,0,10,2.3126602172851562e-05,0.0
5,50,5,0,11,2.288818359375e-05,0.0
5,75,5,1,12,2.3126602172851562e-05,0.0
6,12,5,0,12,1.9073486328125e-05,0.0
6,25,5,0,12,1.811981201171875e-05,0.0
6,50,6,1,13,1.8835067749023438e-05,0.0
6,75,7,1,15,2.09808349609375e-05,0.0
7,12,6,0,14,2.193450927734375e-05,0.0
7,25,6,0,14,1.8835067749023438e-05,0.0
7,50,8,1,17,2.288818359375e-05,0.0
7,75,12,2,20,2.7179718017578125e-05,0.0
8,12,7,0,16,2.002716064453125e-05,0.0
8,25,7,0,16,2.4080276489257812e-05,0.0
8,50,10,1,19,2.3126602172851562e-05,0.0
8,75,14,2,26,3.0994415283203125e-05,0.0
9,12,8,0,18,2.193450927734375e-05,0.0
9,25,9,1,19,2.4080276489257812e-05,0.0
9,50,16,1,33,3.62396240234375e-05,0.0
9,75,22,2,36,4.00543212890625e-05,0.0
10,12,9,0,20,2.5033950805664062e-05,0.0
10,25,11,1,22,2.5987625122070312e-05,0.0
10,50,21,2,38,0.00021719932556152344,0.0
10,75,24,2,41,0.00015783309936523438,0.0
11,12,10,0,22,8.702278137207031e-05,0.0
11,25,12,1,25,9.298324584960938e-05,0.0
11,50,22,2,36,0.00012612342834472656,0.0
11,75,26,2,43,0.0001380443572998047,0.0
12,12,11,0,24,8.606910705566406e-05,0.0
12,25,15,1,29,9.489059448242188e-05,0.0
12,50,27,1,42,0.00013327598571777344,0.0
12,75,39,3,80,0.0002579689025878906,0.0
13,12,12,0,26,8.988380432128906e-05,0.0
13,25,18,1,36,0.00011420249938964844,0.0
13,50,32,2,55,0.0001609325408935547,0.0
13,75,42,3,73,0.00021195411682128906,0.0
14,12,13,0,28,9.608268737792969e-05,0.0
14,25,21,1,38,0.0001239776611328125,0.0
14,50,39,2,75,0.00020599365234375,0.0
14,75,48,3,97,0.0002608299255371094,0.0
15,12,14,0,30,9.608268737792969e-05,0.0
15,25,24,1,42,0.0001327991485595703,0.0
15,50,45,2,82,0.00022411346435546875,0.0
15,75,58,3,139,0.00034809112548828125,0.0
16,12,15,0,32,0.0001010894775390625,0.0
16,25,28,1,47,0.0001361370086669922,0.0
16,50,49,3,101,0.00012183189392089844,0.0
16,75,67,3,145,0.00013399124145507812,0.0
17,12,16,0,34,3.886222839355469e-05,0.0
17,25,32,1,59,5.793571472167969e-05,0.0
17,50,57,2,104,9.918212890625e-05,0.0
17,75,66,3,131,0.00012183189392089844,0.0
18,12,18,0,37,3.933906555175781e-05,0.0
18,25,35,1,56,5.602836608886719e-05,0.0
18,50,63,2,124,0.00011181831359863281,0.0
18,75,75,4,155,0.0001430511474609375,0.0
19,12,20,0,40,4.100799560546875e-05,0.0
19,25,37,1,64,6.222724914550781e-05,0.0
19,50,67,3,138,0.00012421607971191406,0.0
19,75,95,4,233,0.00020313262939453125,0.0
20,12,22,1,43,4.315376281738281e-05,0.0
20,25,44,2,72,6.985664367675781e-05,0.0
20,50,77,3,161,0.0001442432403564453,0.0
20,75,103,4,275,0.00024127960205078125,0.0
21,12,24,1,47,4.8160552978515625e-05,0.0
21,25,49,2,88,8.511543273925781e-05,0.0
21,50,84,3,180,0.00015997886657714844,0.0
21,75,111,4,275,0.00023603439331054688,0.0
22,12,25,1,48,4.982948303222656e-05,0.0
22,25,52,1,85,7.987022399902344e-05,0.0
22,50,89,2,158,0.00014710426330566406,0.0
22,75,120,4,308,0.00026917457580566406,0.0
23,12,29,1,55,5.698204040527344e-05,0.0
23,25,56,2,90,8.487701416015625e-05,0.0
23,50,101,3,198,0.0001800060272216797,0.0
23,75,133,4,367,0.0003151893615722656,0.0
24,12,32,1,58,5.698204040527344e-05,0.0
24,25,62,2,104,9.584426879882812e-05,0.0
24,50,111,3,241,0.00021004676818847656,0.0
24,75,143,4,432,0.0003681182861328125,0.0
25,12,35,1,62,6.079673767089844e-05,0.0
25,25,69,3,116,0.00010991096496582031,0.0
25,50,126,3,278,0.00023698806762695312,0.0
25,75,156,5,553,0.0004589557647705078,0.0
26,12,38,1,73,7.200241088867188e-05,0.0
26,25,77,1,129,0.00011706352233886719,0.0
26,50,128,3,287,0.000247955322265625,0.0
26,75,171,5,575,0.00047898292541503906,0.0
27,12,41,1,72,7.081031799316406e-05,0.0
27,25,76,2,118,0.00011324882507324219,0.0
27,50,136,4,279,0.0002460479736328125,0.0
27,75,190,4,694,0.0005650520324707031,0.0
28,12,43,1,75,7.295608520507812e-05,0.0
28,25,80,2,136,0.00012302398681640625,0.0
28,50,144,3,326,0.0002810955047607422,0.0
28,75,199,5,728,0.0005948543548583984,0.0
29,12,46,1,82,8.177757263183594e-05,0.0
29,25,85,2,146,0.00013327598571777344,0.0
29,50,156,3,366,0.0003170967102050781,0.0
29,75,213,6,918,0.000762939453125,0.0
30,12,51,1,91,9.083747863769531e-05,0.0
30,25,97,2,164,0.0001518726348876953,0.0
30,50,172,4,459,0.00038814544677734375,0.0
30,75,232,4,928,0.0007650852203369141,0.0
31,12,52,1,91,9.179115295410156e-05,0.0
31,25,106,3,179,0.00015997886657714844,0.0
31,50,189,3,467,0.0004010200500488281,0.0
31,75,246,5,1123,0.0009098052978515625,0.0
32,12,56,2,99,9.894371032714844e-05,0.0
32,25,110,2,178,0.00015878677368164062,0.0
32,50,188,4,502,0.00043392181396484375,0.0
32,75,266,5,1209,0.0009992122650146484,0.0
33,12,59,1,101,0.00010013580322265625,0.0
33,25,127,2,232,0.00020694732666015625,0.0
33,50,210,3,485,0.0004248619079589844,0.0
33,75,273,5,1374,0.0011010169982910156,0.0
34,12,64,1,111,0.00010824203491210938,0.0
34,25,125,2,221,0.000186920166015625,0.0
34,50,217,3,570,0.00046634674072265625,0.0
34,75,293,5,1476,0.0011680126190185547,0.0
35,12,69,1,113,0.00010991096496582031,0.0
35,25,127,2,219,0.00019025802612304688,0.0
35,50,238,4,571,0.0004711151123046875,0.0
35,75,306,5,1602,0.0013179779052734375,0.0
36,12,71,1,114,0.00011181831359863281,0.0
36,25,138,3,253,0.0002219676971435547,0.0
36,50,250,4,698,0.0005848407745361328,0.0
36,75,327,6,1399,0.0011587142944335938,0.0
37,12,76,2,133,0.00012803077697753906,0.0
37,25,140,2,247,0.00021195411682128906,0.0
37,50,264,4,775,0.0006248950958251953,0.0
37,75,346,5,1760,0.0014100074768066406,0.0
38,12,74,2,135,0.00012803077697753906,0.0
38,25,155,3,291,0.0002460479736328125,0.0
38,50,283,4,874,0.0007119178771972656,0.0
38,75,378,5,2732,0.0021419525146484375,0.0
39,12,84,1,132,0.0001289844512939453,0.0
39,25,165,3,284,0.00024700164794921875,0.0
39,50,292,5,1047,0.0008440017700195312,0.0
39,75,398,5,2726,0.0021276473999023438,0.0
40,12,87,1,155,0.00014901161193847656,0.0
40,25,179,2,349,0.0003008842468261719,0.0
40,50,303,4,966,0.0007688999176025391,0.0
40,75,417,5,2913,0.002299070358276367,0.0
41,12,92,2,154,0.00014901161193847656,0.0
