Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
5,12.5,1,12,0,False,1,2.3126602172851562e-05,0.0
5,12.5,1,25,1,True,1,3.504753112792969e-05,0.0
5,12.5,1,50,2,True,1,4.601478576660156e-05,0.0
5,12.5,1,75,3,False,4,6.222724914550781e-05,0.0
5,25,2,12,0,False,1,1.0013580322265625e-05,0.0
5,25,2,25,1,True,1,1.9788742065429688e-05,0.0
5,25,2,50,2,True,1,3.2901763916015625e-05,0.0
5,25,2,75,3,False,9,4.482269287109375e-05,0.0
5,50,5,12,0,False,1,9.298324584960938e-06,0.0
5,50,5,25,1,True,1,1.9073486328125e-05,0.0
5,50,5,50,2,True,1,2.8133392333984375e-05,0.0
5,50,5,75,3,False,27,4.410743713378906e-05,0.0
5,75,8,12,0,False,1,9.059906005859375e-06,0.0
5,75,8,25,1,True,1,1.811981201171875e-05,0.0
5,75,8,50,2,True,1,2.6941299438476562e-05,0.0
5,75,8,75,3,True,6,3.695487976074219e-05,0.0
6,12.5,2,12,0,False,1,8.821487426757812e-06,0.0
6,12.5,2,25,1,True,1,1.8835067749023438e-05,0.0
6,12.5,2,50,3,False,10,2.9802322387695312e-05,0.0
6,12.5,2,75,4,False,10,3.886222839355469e-05,0.0
6,25,4,12,0,False,1,1.1920928955078125e-05,0.0
6,25,4,25,1,True,1,2.09808349609375e-05,0.0
6,25,4,50,3,False,28,3.790855407714844e-05,0.0
6,25,4,75,4,False,28,4.982948303222656e-05,0.0
6,50,8,12,0,False,1,9.059906005859375e-06,0.0
6,50,8,25,1,True,1,1.8358230590820312e-05,0.0
6,50,8,50,3,True,6,2.8371810913085938e-05,0.0
6,50,8,75,4,False,45,4.220008850097656e-05,0.0
6,75,11,12,0,False,1,9.059906005859375e-06,0.0
6,75,11,25,1,True,1,1.9073486328125e-05,0.0
6,75,11,50,3,True,6,2.9087066650390625e-05,0.0
6,75,11,75,4,False,47,4.315376281738281e-05,0.0
7,12.5,3,12,0,False,1,1.3113021850585938e-05,0.0
7,12.5,3,25,1,True,1,2.3126602172851562e-05,0.0
7,12.5,3,50,3,False,18,4.315376281738281e-05,0.0
7,12.5,3,75,5,False,18,5.412101745605469e-05,0.0
7,25,5,12,0,False,1,1.3113021850585938e-05,0.0
7,25,5,25,1,True,1,2.193450927734375e-05,0.0
7,25,5,50,3,False,40,3.600120544433594e-05,0.0
7,25,5,75,5,False,40,5.078315734863281e-05,0.0
7,50,10,12,0,False,1,1.0013580322265625e-05,0.0
7,50,10,25,1,True,1,2.288818359375e-05,0.0
7,50,10,50,3,True,42,3.695487976074219e-05,0.0
7,50,10,75,5,False,60,5.1975250244140625e-05,0.0
7,75,16,12,0,False,1,9.059906005859375e-06,0.0
7,75,16,25,1,True,1,1.6927719116210938e-05,0.0
7,75,16,50,3,True,28,3.0040740966796875e-05,0.0
7,75,16,75,5,False,61,4.792213439941406e-05,0.0
8,12.5,4,12,0,False,1,1.1205673217773438e-05,0.0
8,12.5,4,25,2,True,1,2.09808349609375e-05,0.0
8,12.5,4,50,4,False,28,3.218650817871094e-05,0.0
