+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
| Number of Nodes | %  | Number of Edges | Cliques |  k  | Basic Operations |          Time          |   Memory  |
+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
|        5        | 12 |        4        |   True  |  0  |        4         | 2.7179718017578125e-05 |    0.0    |
|        5        | 25 |        4        |  False  |  1  |        1         | 8.106231689453125e-06  |    0.0    |
|        5        | 50 |        4        |  False  |  2  |        1         | 6.9141387939453125e-06 |    0.0    |
|        5        | 75 |        6        |   True  |  3  |        23        | 1.0967254638671875e-05 |    0.0    |
|        6        | 12 |        5        |   True  |  0  |        3         | 6.9141387939453125e-06 |    0.0    |
|        6        | 25 |        5        |  False  |  1  |        1         | 6.198883056640625e-06  |    0.0    |
|        6        | 50 |        5        |  False  |  3  |        29        | 1.0251998901367188e-05 |    0.0    |
|        6        | 75 |        8        |  False  |  4  |        37        | 1.0013580322265625e-05 |    0.0    |
|        7        | 12 |        6        |   True  |  0  |        6         | 6.9141387939453125e-06 |    0.0    |
|        7        | 25 |        6        |  False  |  1  |        1         |  5.7220458984375e-06   |    0.0    |
|        7        | 50 |        9        |   True  |  3  |        5         | 6.9141387939453125e-06 |    0.0    |
|        7        | 75 |        13       |  False  |  5  |        59        | 1.3113021850585938e-05 |    0.0    |
|        8        | 12 |        7        |   True  |  0  |        6         | 6.9141387939453125e-06 |    0.0    |
|        8        | 25 |        7        |  False  |  2  |        1         | 5.9604644775390625e-06 |    0.0    |
|        8        | 50 |        14       |   True  |  4  |        9         | 7.152557373046875e-06  |    0.0    |
|        8        | 75 |        15       |  False  |  6  |        75        |   1.52587890625e-05    |    0.0    |
|        9        | 12 |        8        |  False  |  1  |        1         | 5.9604644775390625e-06 |    0.0    |
|        9        | 25 |        9        |  False  |  2  |        1         | 5.9604644775390625e-06 |    0.0    |
|        9        | 50 |        14       |  False  |  4  |        85        | 1.5735626220703125e-05 |    0.0    |
|        9        | 75 |        20       |  False  |  6  |       101        | 1.7881393432617188e-05 |    0.0    |
|        10       | 12 |        9        |  False  |  1  |        1         |  5.7220458984375e-06   |    0.0    |
|        10       | 25 |        10       |  False  |  2  |        1         | 6.198883056640625e-06  |    0.0    |
|        10       | 50 |        18       |  False  |  5  |       112        | 1.8835067749023438e-05 |    0.0    |
|        10       | 75 |        20       |  False  |  7  |       117        | 2.002716064453125e-05  |    0.0    |
|        11       | 12 |        10       |  False  |  1  |        1         |  5.7220458984375e-06   |    0.0    |
|        11       | 25 |        13       |  False  |  2  |        1         |  5.7220458984375e-06   |    0.0    |
|        11       | 50 |        21       |  False  |  5  |       133        | 2.193450927734375e-05  |    0.0    |
|        11       | 75 |        27       |  False  |  8  |       164        | 2.5033950805664062e-05 |    0.0    |
|        12       | 12 |        11       |  False  |  1  |        1         | 5.9604644775390625e-06 |    0.0    |
|        12       | 25 |        15       |   True  |  3  |        8         | 7.152557373046875e-06  |    0.0    |
|        12       | 50 |        29       |  False  |  6  |       180        | 2.7179718017578125e-05 |    0.0    |
|        12       | 75 |        39       |  False  |  9  |       217        | 3.0994415283203125e-05 |    0.0    |
|        13       | 12 |        12       |  False  |  1  |        1         | 5.9604644775390625e-06 |    0.0    |
|        13       | 25 |        18       |   True  |  3  |        5         |  5.7220458984375e-06   |    0.0    |
|        13       | 50 |        32       |  False  |  6  |       215        | 3.218650817871094e-05  |    0.0    |
|        13       | 75 |        46       |  False  |  9  |       255        | 3.600120544433594e-05  |    0.0    |
|        14       | 12 |        13       |  False  |  1  |        1         | 6.9141387939453125e-06 |    0.0    |
|        14       | 25 |        21       |   True  |  3  |        31        | 1.1205673217773438e-05 |    0.0    |
|        14       | 50 |        36       |  False  |  7  |       237        | 3.504753112792969e-05  |    0.0    |
|        14       | 75 |        48       |  False  |  10 |       294        |  4.1961669921875e-05   |    0.0    |
|        15       | 12 |        14       |  False  |  1  |        1         | 5.9604644775390625e-06 |    0.0    |
|        15       | 25 |        23       |   True  |  3  |        5         | 7.867813110351562e-06  |    0.0    |
|        15       | 50 |        43       |  False  |  7  |       298        | 4.315376281738281e-05  |    0.0    |
|        15       | 75 |        59       |  False  |  11 |       363        | 5.1021575927734375e-05 |    0.0    |
|        16       | 12 |        15       |  False  |  1  |        1         | 6.9141387939453125e-06 |    0.0    |
|        16       | 25 |        27       |   True  |  4  |       102        | 1.7881393432617188e-05 |    0.0    |
|        16       | 50 |        50       |  False  |  8  |       336        | 4.792213439941406e-05  |    0.0    |
|        16       | 75 |        67       |  False  |  12 |       394        | 5.626678466796875e-05  |    0.0    |
|        17       | 12 |        16       |  False  |  2  |        1         | 7.152557373046875e-06  |    0.0    |
