+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
|        5        | 12.5 |        1        |   12  | 0  |     False      |        1         | 1.8835067749023438e-05 |  0.0   |
|        5        | 12.5 |        1        |   25  | 1  |     False      |        1         | 2.7894973754882812e-05 |  0.0   |
|        5        | 12.5 |        1        |   50  | 2  |      True      |        1         | 3.504753112792969e-05  |  0.0   |
|        5        | 12.5 |        1        |   75  | 3  |     False      |        4         | 4.601478576660156e-05  |  0.0   |
|        5        |  25  |        2        |   12  | 0  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        5        |  25  |        2        |   25  | 1  |     False      |        1         | 1.4066696166992188e-05 |  0.0   |
|        5        |  25  |        2        |   50  | 2  |      True      |        1         | 2.002716064453125e-05  |  0.0   |
|        5        |  25  |        2        |   75  | 3  |     False      |        9         | 2.7894973754882812e-05 |  0.0   |
|        5        |  50  |        5        |   12  | 0  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        5        |  50  |        5        |   25  | 1  |     False      |        1         | 1.2874603271484375e-05 |  0.0   |
|        5        |  50  |        5        |   50  | 2  |      True      |        1         | 1.9788742065429688e-05 |  0.0   |
|        5        |  50  |        5        |   75  | 3  |     False      |        27        | 3.2901763916015625e-05 |  0.0   |
|        5        |  75  |        8        |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        5        |  75  |        8        |   25  | 1  |     False      |        1         | 1.2874603271484375e-05 |  0.0   |
|        5        |  75  |        8        |   50  | 2  |      True      |        1         |  1.9073486328125e-05   |  0.0   |
|        5        |  75  |        8        |   75  | 3  |      True      |        6         | 2.7894973754882812e-05 |  0.0   |
|        6        | 12.5 |        2        |   12  | 0  |     False      |        1         | 9.059906005859375e-06  |  0.0   |
|        6        | 12.5 |        2        |   25  | 1  |     False      |        1         | 1.621246337890625e-05  |  0.0   |
|        6        | 12.5 |        2        |   50  | 3  |     False      |        10        | 2.5033950805664062e-05 |  0.0   |
|        6        | 12.5 |        2        |   75  | 4  |     False      |        10        | 3.719329833984375e-05  |  0.0   |
|        6        |  25  |        4        |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        6        |  25  |        4        |   25  | 1  |     False      |        1         | 1.5974044799804688e-05 |  0.0   |
|        6        |  25  |        4        |   50  | 3  |     False      |        28        | 2.9087066650390625e-05 |  0.0   |
|        6        |  25  |        4        |   75  | 4  |     False      |        28        | 4.100799560546875e-05  |  0.0   |
|        6        |  50  |        8        |   12  | 0  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        6        |  50  |        8        |   25  | 1  |     False      |        1         | 1.5735626220703125e-05 |  0.0   |
|        6        |  50  |        8        |   50  | 3  |      True      |        6         |   2.288818359375e-05   |  0.0   |
|        6        |  50  |        8        |   75  | 4  |     False      |        45        | 3.4809112548828125e-05 |  0.0   |
|        6        |  75  |        11       |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        6        |  75  |        11       |   25  | 1  |     False      |        1         | 1.1920928955078125e-05 |  0.0   |
|        6        |  75  |        11       |   50  | 3  |      True      |        6         | 2.193450927734375e-05  |  0.0   |
|        6        |  75  |        11       |   75  | 4  |     False      |        47        | 3.504753112792969e-05  |  0.0   |
|        7        | 12.5 |        3        |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        7        | 12.5 |        3        |   25  | 1  |     False      |        1         | 1.3113021850585938e-05 |  0.0   |
|        7        | 12.5 |        3        |   50  | 3  |     False      |        18        | 2.4080276489257812e-05 |  0.0   |
|        7        | 12.5 |        3        |   75  | 5  |     False      |        18        | 3.1948089599609375e-05 |  0.0   |
|        7        |  25  |        5        |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        7        |  25  |        5        |   25  | 1  |     False      |        1         | 1.2159347534179688e-05 |  0.0   |
|        7        |  25  |        5        |   50  | 3  |     False      |        40        | 2.6226043701171875e-05 |  0.0   |
|        7        |  25  |        5        |   75  | 5  |     False      |        40        | 3.719329833984375e-05  |  0.0   |
|        7        |  50  |        10       |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        7        |  50  |        10       |   25  | 1  |     False      |        1         | 1.3113021850585938e-05 |  0.0   |
|        7        |  50  |        10       |   50  | 3  |      True      |        42        | 2.4080276489257812e-05 |  0.0   |
|        7        |  50  |        10       |   75  | 5  |     False      |        60        | 3.719329833984375e-05  |  0.0   |
|        7        |  75  |        16       |   12  | 0  |     False      |        1         | 9.775161743164062e-06  |  0.0   |
|        7        |  75  |        16       |   25  | 1  |     False      |        1         | 1.6689300537109375e-05 |  0.0   |
|        7        |  75  |        16       |   50  | 3  |      True      |        28        | 2.574920654296875e-05  |  0.0   |
|        7        |  75  |        16       |   75  | 5  |     False      |        61        | 3.981590270996094e-05  |  0.0   |
|        8        | 12.5 |        4        |   12  | 0  |     False      |        1         | 8.821487426757812e-06  |  0.0   |
|        8        | 12.5 |        4        |   25  | 2  |      True      |        1         | 1.7881393432617188e-05 |  0.0   |
|        8        | 12.5 |        4        |   50  | 4  |     False      |        28        | 2.8133392333984375e-05 |  0.0   |
|        8        | 12.5 |        4        |   75  | 6  |     False      |        28        | 3.719329833984375e-05  |  0.0   |
|        8        |  25  |        7        |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        8        |  25  |        7        |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        8        |  25  |        7        |   50  | 4  |     False      |        70        | 2.5987625122070312e-05 |  0.0   |
|        8        |  25  |        7        |   75  | 6  |     False      |        70        |  4.00543212890625e-05  |  0.0   |
|        8        |  50  |        14       |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        8        |  50  |        14       |   25  | 2  |      True      |        1         | 1.2874603271484375e-05 |  0.0   |
|        8        |  50  |        14       |   50  | 4  |     False      |        78        | 2.7894973754882812e-05 |  0.0   |
|        8        |  50  |        14       |   75  | 6  |     False      |        78        | 4.315376281738281e-05  |  0.0   |
|        8        |  75  |        21       |   12  | 0  |     False      |        1         |  5.7220458984375e-06   |  0.0   |
|        8        |  75  |        21       |   25  | 2  |      True      |        1         | 1.4781951904296875e-05 |  0.0   |
|        8        |  75  |        21       |   50  | 4  |      True      |        42        | 2.9802322387695312e-05 |  0.0   |
|        8        |  75  |        21       |   75  | 6  |     False      |        95        | 4.792213439941406e-05  |  0.0   |
|        9        | 12.5 |        4        |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        9        | 12.5 |        4        |   25  | 2  |      True      |        1         | 1.621246337890625e-05  |  0.0   |
|        9        | 12.5 |        4        |   50  | 4  |     False      |        28        | 2.5987625122070312e-05 |  0.0   |
|        9        | 12.5 |        4        |   75  | 6  |     False      |        28        | 3.600120544433594e-05  |  0.0   |
|        9        |  25  |        9        |   12  | 1  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        9        |  25  |        9        |   25  | 2  |      True      |        1         | 1.6927719116210938e-05 |  0.0   |
|        9        |  25  |        9        |   50  | 4  |     False      |        89        | 3.3855438232421875e-05 |  0.0   |
|        9        |  25  |        9        |   75  | 6  |     False      |        89        | 4.887580871582031e-05  |  0.0   |
|        9        |  50  |        18       |   12  | 1  |     False      |        1         | 1.0013580322265625e-05 |  0.0   |
|        9        |  50  |        18       |   25  | 2  |      True      |        1         |  1.9073486328125e-05   |  0.0   |
|        9        |  50  |        18       |   50  | 4  |      True      |        54        | 3.218650817871094e-05  |  0.0   |
|        9        |  50  |        18       |   75  | 6  |     False      |       109        | 5.316734313964844e-05  |  0.0   |
|        9        |  75  |        27       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        9        |  75  |        27       |   25  | 2  |      True      |        1         | 1.3113021850585938e-05 |  0.0   |
|        9        |  75  |        27       |   50  | 4  |      True      |        67        | 2.7894973754882812e-05 |  0.0   |
|        9        |  75  |        27       |   75  | 6  |     False      |       112        | 4.696846008300781e-05  |  0.0   |
|        10       | 12.5 |        6        |   12  | 1  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        10       | 12.5 |        6        |   25  | 2  |      True      |        1         | 1.3113021850585938e-05 |  0.0   |
|        10       | 12.5 |        6        |   50  | 5  |     False      |        54        | 2.5033950805664062e-05 |  0.0   |
|        10       | 12.5 |        6        |   75  | 7  |     False      |        54        | 3.600120544433594e-05  |  0.0   |
|        10       |  25  |        11       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        10       |  25  |        11       |   25  | 2  |      True      |        1         | 1.621246337890625e-05  |  0.0   |
|        10       |  25  |        11       |   50  | 5  |     False      |       109        | 3.409385681152344e-05  |  0.0   |
|        10       |  25  |        11       |   75  | 7  |     False      |       109        | 5.1975250244140625e-05 |  0.0   |
|        10       |  50  |        22       |   12  | 1  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        10       |  50  |        22       |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        10       |  50  |        22       |   50  | 5  |     False      |       130        | 3.719329833984375e-05  |  0.0   |
|        10       |  50  |        22       |   75  | 7  |     False      |       130        | 5.817413330078125e-05  |  0.0   |
|        10       |  75  |        34       |   12  | 1  |     False      |        1         | 9.059906005859375e-06  |  0.0   |
|        10       |  75  |        34       |   25  | 2  |      True      |        1         | 1.5974044799804688e-05 |  0.0   |
|        10       |  75  |        34       |   50  | 5  |      True      |       104        | 3.504753112792969e-05  |  0.0   |
|        10       |  75  |        34       |   75  | 7  |     False      |       163        | 6.389617919921875e-05  |  0.0   |
|        11       | 12.5 |        7        |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        11       | 12.5 |        7        |   25  | 2  |      True      |        1         | 1.2636184692382812e-05 |  0.0   |
|        11       | 12.5 |        7        |   50  | 5  |     False      |        70        | 2.8848648071289062e-05 |  0.0   |
|        11       | 12.5 |        7        |   75  | 8  |     False      |        70        | 4.482269287109375e-05  |  0.0   |
|        11       |  25  |        14       |   12  | 1  |     False      |        1         | 7.152557373046875e-06  |  0.0   |
|        11       |  25  |        14       |   25  | 2  |      True      |        1         |  1.71661376953125e-05  |  0.0   |
|        11       |  25  |        14       |   50  | 5  |     False      |       135        |  4.00543212890625e-05  |  0.0   |
|        11       |  25  |        14       |   75  | 8  |     False      |       135        |    6.103515625e-05     |  0.0   |
|        11       |  50  |        28       |   12  | 1  |     False      |        1         | 6.9141387939453125e-06 |  0.0   |
|        11       |  50  |        28       |   25  | 2  |      True      |        1         | 1.3828277587890625e-05 |  0.0   |
|        11       |  50  |        28       |   50  | 5  |     False      |       151        | 3.886222839355469e-05  |  0.0   |
|        11       |  50  |        28       |   75  | 8  |     False      |       151        | 6.461143493652344e-05  |  0.0   |
|        11       |  75  |        41       |   12  | 1  |     False      |        1         |  5.7220458984375e-06   |  0.0   |
|        11       |  75  |        41       |   25  | 2  |      True      |        1         | 1.2636184692382812e-05 |  0.0   |
|        11       |  75  |        41       |   50  | 5  |      True      |        18        | 2.2649765014648438e-05 |  0.0   |
|        11       |  75  |        41       |   75  | 8  |     False      |       193        | 5.1975250244140625e-05 |  0.0   |
