+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |                 Cliques                  | Different k |          Time          |
+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
|        5        | 12 |        4        |                  [2, 3]                  |      2      | 2.8133392333984375e-05 |
|        5        | 25 |        4        |                  [2, 3]                  |      2      | 1.4066696166992188e-05 |
|        5        | 50 |        4        |                  [2, 3]                  |      2      | 1.4066696166992188e-05 |
|        5        | 75 |        5        |                [2, 3, 4]                 |      3      | 1.8835067749023438e-05 |
|        6        | 12 |        5        |                  [2, 3]                  |      2      | 2.193450927734375e-05  |
|        6        | 25 |        5        |                  [2, 3]                  |      2      |   1.52587890625e-05    |
|        6        | 50 |        6        |                  [2, 3]                  |      2      | 1.9788742065429688e-05 |
|        6        | 75 |        8        |                [2, 3, 4]                 |      3      |  2.09808349609375e-05  |
|        7        | 12 |        6        |                  [2, 3]                  |      2      | 2.2172927856445312e-05 |
|        7        | 25 |        6        |                  [2, 3]                  |      2      | 1.6927719116210938e-05 |
|        7        | 50 |        9        |                [2, 3, 4]                 |      3      | 2.5033950805664062e-05 |
|        7        | 75 |        12       |                [2, 3, 4]                 |      3      | 2.6226043701171875e-05 |
|        8        | 12 |        7        |                  [2, 3]                  |      2      | 2.2172927856445312e-05 |
|        8        | 25 |        7        |                  [2, 3]                  |      2      |  2.09808349609375e-05  |
|        8        | 50 |        12       |               [2, 3, 4, 5]               |      4      | 3.2901763916015625e-05 |
|        8        | 75 |        14       |               [2, 3, 4, 5]               |      4      | 2.9087066650390625e-05 |
|        9        | 12 |        8        |                  [2, 3]                  |      2      | 2.5033950805664062e-05 |
|        9        | 25 |        8        |                  [2, 3]                  |      2      | 2.2172927856445312e-05 |
|        9        | 50 |        14       |                [2, 3, 4]                 |      3      | 3.790855407714844e-05  |
|        9        | 75 |        17       |               [2, 3, 4, 5]               |      4      | 4.100799560546875e-05  |
|        10       | 12 |        9        |                  [2, 3]                  |      2      | 2.8133392333984375e-05 |
|        10       | 25 |        11       |                [2, 3, 4]                 |      3      | 3.695487976074219e-05  |
|        10       | 50 |        18       |                [2, 3, 4]                 |      3      | 4.601478576660156e-05  |
|        10       | 75 |        24       |               [2, 3, 4, 5]               |      4      | 5.2928924560546875e-05 |
|        11       | 12 |        10       |                  [2, 3]                  |      2      | 3.314018249511719e-05  |
|        11       | 25 |        12       |                  [2, 3]                  |      2      | 3.2901763916015625e-05 |
|        11       | 50 |        19       |                [2, 3, 4]                 |      3      | 4.506111145019531e-05  |
|        11       | 75 |        27       |               [2, 3, 4, 5]               |      4      | 6.508827209472656e-05  |
|        12       | 12 |        11       |                  [2, 3]                  |      2      | 3.719329833984375e-05  |
|        12       | 25 |        15       |                [2, 3, 4]                 |      3      | 4.506111145019531e-05  |
|        12       | 50 |        28       |               [2, 3, 4, 5]               |      4      | 7.605552673339844e-05  |
|        12       | 75 |        39       |             [2, 3, 4, 5, 6]              |      5      | 0.00010323524475097656 |
|        13       | 12 |        12       |                  [2, 3]                  |      2      | 3.790855407714844e-05  |
|        13       | 25 |        18       |                [2, 3, 4]                 |      3      | 5.2928924560546875e-05 |
|        13       | 50 |        32       |               [2, 3, 4, 5]               |      4      | 7.605552673339844e-05  |
