+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
|        5        | 12.5 |        1        |  12.5 | 0  |     False      |        4         |  3.62396240234375e-05  |    0.0    |
|        5        | 12.5 |        1        |   25  | 1  |      True      |        4         | 1.3113021850585938e-05 |    0.0    |
|        5        | 12.5 |        1        |   50  | 2  |      True      |        4         | 9.059906005859375e-06  |    0.0    |
|        5        | 12.5 |        1        |   75  | 3  |     False      |        4         | 9.059906005859375e-06  |    0.0    |
|        5        |  25  |        2        |  12.5 | 0  |     False      |        6         | 1.4066696166992188e-05 |    0.0    |
|        5        |  25  |        2        |   25  | 1  |      True      |        6         | 1.0013580322265625e-05 |    0.0    |
|        5        |  25  |        2        |   50  | 2  |      True      |        6         | 8.821487426757812e-06  |    0.0    |
|        5        |  25  |        2        |   75  | 3  |     False      |        6         | 1.0013580322265625e-05 |    0.0    |
|        5        |  50  |        5        |  12.5 | 0  |     False      |        10        |  1.71661376953125e-05  |    0.0    |
|        5        |  50  |        5        |   25  | 1  |      True      |        10        | 1.3828277587890625e-05 |    0.0    |
|        5        |  50  |        5        |   50  | 2  |      True      |        10        |   1.52587890625e-05    |    0.0    |
|        5        |  50  |        5        |   75  | 3  |     False      |        10        | 1.2874603271484375e-05 |    0.0    |
|        5        |  75  |        8        |  12.5 | 0  |     False      |        12        |  1.9073486328125e-05   |    0.0    |
|        5        |  75  |        8        |   25  | 1  |      True      |        12        | 1.5974044799804688e-05 |    0.0    |
|        5        |  75  |        8        |   50  | 2  |     False      |        12        |   1.52587890625e-05    |    0.0    |
|        5        |  75  |        8        |   75  | 3  |      True      |        12        | 1.4781951904296875e-05 |    0.0    |
|        6        | 12.5 |        2        |  12.5 | 0  |     False      |        6         | 1.2636184692382812e-05 |    0.0    |
|        6        | 12.5 |        2        |   25  | 1  |      True      |        6         | 1.0013580322265625e-05 |    0.0    |
|        6        | 12.5 |        2        |   50  | 3  |     False      |        6         | 9.298324584960938e-06  |    0.0    |
|        6        | 12.5 |        2        |   75  | 4  |     False      |        6         | 9.298324584960938e-06  |    0.0    |
|        6        |  25  |        4        |  12.5 | 0  |     False      |        10        | 1.5020370483398438e-05 |    0.0    |
|        6        |  25  |        4        |   25  | 1  |      True      |        10        | 1.1920928955078125e-05 |    0.0    |
|        6        |  25  |        4        |   50  | 3  |     False      |        10        | 1.2159347534179688e-05 |    0.0    |
|        6        |  25  |        4        |   75  | 4  |     False      |        10        | 1.2159347534179688e-05 |    0.0    |
|        6        |  50  |        8        |  12.5 | 0  |     False      |        16        | 2.0265579223632812e-05 |    0.0    |
|        6        |  50  |        8        |   25  | 1  |      True      |        16        |  1.71661376953125e-05  |    0.0    |
|        6        |  50  |        8        |   50  | 3  |      True      |        16        | 1.6927719116210938e-05 |    0.0    |
|        6        |  50  |        8        |   75  | 4  |     False      |        16        |  1.71661376953125e-05  |    0.0    |
|        6        |  75  |        11       |  12.5 | 0  |     False      |        17        |  2.09808349609375e-05  |    0.0    |
|        6        |  75  |        11       |   25  | 1  |      True      |        17        | 1.6927719116210938e-05 |    0.0    |
|        6        |  75  |        11       |   50  | 3  |      True      |        17        | 1.6927719116210938e-05 |    0.0    |
|        6        |  75  |        11       |   75  | 4  |     False      |        17        |  1.71661376953125e-05  |    0.0    |
|        7        | 12.5 |        3        |  12.5 | 0  |     False      |        8         | 1.4066696166992188e-05 |    0.0    |
|        7        | 12.5 |        3        |   25  | 1  |      True      |        8         | 1.0967254638671875e-05 |    0.0    |
|        7        | 12.5 |        3        |   50  | 3  |     False      |        8         | 1.0967254638671875e-05 |    0.0    |
|        7        | 12.5 |        3        |   75  | 5  |     False      |        8         | 1.0967254638671875e-05 |    0.0    |
|        7        |  25  |        5        |  12.5 | 0  |     False      |        12        | 1.5735626220703125e-05 |    0.0    |
|        7        |  25  |        5        |   25  | 1  |      True      |        12        | 1.430511474609375e-05  |    0.0    |
|        7        |  25  |        5        |   50  | 3  |     False      |        12        | 1.4066696166992188e-05 |    0.0    |
|        7        |  25  |        5        |   75  | 5  |     False      |        12        | 1.3828277587890625e-05 |    0.0    |
|        7        |  50  |        10       |  12.5 | 0  |     False      |        18        |  2.09808349609375e-05  |    0.0    |
|        7        |  50  |        10       |   25  | 1  |      True      |        18        | 1.7881393432617188e-05 |    0.0    |
|        7        |  50  |        10       |   50  | 3  |      True      |        18        | 1.6927719116210938e-05 |    0.0    |
|        7        |  50  |        10       |   75  | 5  |     False      |        18        |  1.71661376953125e-05  |    0.0    |
|        7        |  75  |        16       |  12.5 | 0  |     False      |        18        | 2.193450927734375e-05  |    0.0    |
|        7        |  75  |        16       |   25  | 1  |      True      |        18        |  1.9073486328125e-05   |    0.0    |
|        7        |  75  |        16       |   50  | 3  |      True      |        18        | 2.002716064453125e-05  |    0.0    |
|        7        |  75  |        16       |   75  | 5  |     False      |        18        | 1.7881393432617188e-05 |    0.0    |
|        8        | 12.5 |        4        |  12.5 | 1  |      True      |        10        |   1.52587890625e-05    |    0.0    |
|        8        | 12.5 |        4        |   25  | 2  |      True      |        10        | 1.3113021850585938e-05 |    0.0    |
|        8        | 12.5 |        4        |   50  | 4  |     False      |        10        | 1.2636184692382812e-05 |    0.0    |
|        8        | 12.5 |        4        |   75  | 6  |     False      |        10        | 1.2159347534179688e-05 |    0.0    |
|        8        |  25  |        7        |  12.5 | 1  |      True      |        16        | 1.7881393432617188e-05 |    0.0    |
|        8        |  25  |        7        |   25  | 2  |      True      |        16        | 1.621246337890625e-05  |    0.0    |
|        8        |  25  |        7        |   50  | 4  |     False      |        16        | 1.5974044799804688e-05 |    0.0    |
|        8        |  25  |        7        |   75  | 6  |     False      |        16        | 1.6927719116210938e-05 |    0.0    |
|        8        |  50  |        14       |  12.5 | 1  |      True      |        24        | 2.6941299438476562e-05 |    0.0    |
|        8        |  50  |        14       |   25  | 2  |      True      |        24        | 2.3126602172851562e-05 |    0.0    |
|        8        |  50  |        14       |   50  | 4  |     False      |        24        | 2.193450927734375e-05  |    0.0    |
|        8        |  50  |        14       |   75  | 6  |     False      |        24        | 2.3126602172851562e-05 |    0.0    |
|        8        |  75  |        21       |  12.5 | 1  |      True      |        31        | 3.314018249511719e-05  |    0.0    |
|        8        |  75  |        21       |   25  | 2  |     False      |        31        | 2.9087066650390625e-05 |    0.0    |
|        8        |  75  |        21       |   50  | 4  |      True      |        31        | 2.6941299438476562e-05 |    0.0    |
|        8        |  75  |        21       |   75  | 6  |     False      |        31        | 2.6941299438476562e-05 |    0.0    |
|        9        | 12.5 |        4        |  12.5 | 1  |      True      |        9         | 1.4066696166992188e-05 |    0.0    |
|        9        | 12.5 |        4        |   25  | 2  |      True      |        9         | 1.0967254638671875e-05 |    0.0    |
