+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
|        5        | 12.5 |        1        |   12  | 0  |     False      |        1         | 1.7881393432617188e-05 |  0.0   |
|        5        | 12.5 |        1        |   25  | 1  |      True      |        1         | 2.6941299438476562e-05 |  0.0   |
|        5        | 12.5 |        1        |   50  | 2  |      True      |        1         | 3.3855438232421875e-05 |  0.0   |
|        5        | 12.5 |        1        |   75  | 3  |     False      |        4         |  4.1961669921875e-05   |  0.0   |
|        5        |  25  |        2        |   12  | 0  |     False      |        1         |  5.7220458984375e-06   |  0.0   |
|        5        |  25  |        2        |   25  | 1  |      True      |        1         | 1.2874603271484375e-05 |  0.0   |
|        5        |  25  |        2        |   50  | 2  |      True      |        1         | 1.7881393432617188e-05 |  0.0   |
|        5        |  25  |        2        |   75  | 3  |     False      |        9         | 2.574920654296875e-05  |  0.0   |
|        5        |  50  |        5        |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        5        |  50  |        5        |   25  | 1  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        5        |  50  |        5        |   50  | 2  |      True      |        1         | 1.811981201171875e-05  |  0.0   |
|        5        |  50  |        5        |   75  | 3  |     False      |        27        | 2.8133392333984375e-05 |  0.0   |
|        5        |  75  |        8        |   12  | 0  |     False      |        1         | 7.152557373046875e-06  |  0.0   |
|        5        |  75  |        8        |   25  | 1  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        5        |  75  |        8        |   50  | 2  |      True      |        1         | 1.8358230590820312e-05 |  0.0   |
|        5        |  75  |        8        |   75  | 3  |      True      |        6         | 2.5272369384765625e-05 |  0.0   |
|        6        | 12.5 |        2        |   12  | 0  |     False      |        1         | 7.867813110351562e-06  |  0.0   |
|        6        | 12.5 |        2        |   25  | 1  |      True      |        1         | 1.3828277587890625e-05 |  0.0   |
|        6        | 12.5 |        2        |   50  | 3  |     False      |        10        |  2.09808349609375e-05  |  0.0   |
|        6        | 12.5 |        2        |   75  | 4  |     False      |        10        | 2.7894973754882812e-05 |  0.0   |
|        6        |  25  |        4        |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        6        |  25  |        4        |   25  | 1  |      True      |        1         | 1.1205673217773438e-05 |  0.0   |
|        6        |  25  |        4        |   50  | 3  |     False      |        28        | 2.002716064453125e-05  |  0.0   |
|        6        |  25  |        4        |   75  | 4  |     False      |        28        | 2.9325485229492188e-05 |  0.0   |
|        6        |  50  |        8        |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        6        |  50  |        8        |   25  | 1  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        6        |  50  |        8        |   50  | 3  |      True      |        6         | 1.7881393432617188e-05 |  0.0   |
|        6        |  50  |        8        |   75  | 4  |     False      |        45        | 2.9087066650390625e-05 |  0.0   |
|        6        |  75  |        11       |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        6        |  75  |        11       |   25  | 1  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        6        |  75  |        11       |   50  | 3  |      True      |        6         | 1.8358230590820312e-05 |  0.0   |
|        6        |  75  |        11       |   75  | 4  |     False      |        47        | 3.0279159545898438e-05 |  0.0   |
|        7        | 12.5 |        3        |   12  | 0  |     False      |        1         | 5.245208740234375e-06  |  0.0   |
|        7        | 12.5 |        3        |   25  | 1  |      True      |        1         | 1.1205673217773438e-05 |  0.0   |
|        7        | 12.5 |        3        |   50  | 3  |     False      |        18        |  1.9073486328125e-05   |  0.0   |
|        7        | 12.5 |        3        |   75  | 5  |     False      |        18        | 2.6941299438476562e-05 |  0.0   |
|        7        |  25  |        5        |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        7        |  25  |        5        |   25  | 1  |      True      |        1         | 1.1682510375976562e-05 |  0.0   |
|        7        |  25  |        5        |   50  | 3  |     False      |        40        | 2.193450927734375e-05  |  0.0   |
|        7        |  25  |        5        |   75  | 5  |     False      |        40        | 3.1948089599609375e-05 |  0.0   |
|        7        |  50  |        10       |   12  | 0  |     False      |        1         |  5.7220458984375e-06   |  0.0   |
|        7        |  50  |        10       |   25  | 1  |      True      |        1         | 1.0967254638671875e-05 |  0.0   |
|        7        |  50  |        10       |   50  | 3  |      True      |        42        | 2.193450927734375e-05  |  0.0   |
|        7        |  50  |        10       |   75  | 5  |     False      |        60        | 3.409385681152344e-05  |  0.0   |
|        7        |  75  |        16       |   12  | 0  |     False      |        1         | 5.9604644775390625e-06 |  0.0   |
|        7        |  75  |        16       |   25  | 1  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        7        |  75  |        16       |   50  | 3  |      True      |        28        |  2.09808349609375e-05  |  0.0   |
|        7        |  75  |        16       |   75  | 5  |     False      |        61        | 3.409385681152344e-05  |  0.0   |
|        8        | 12.5 |        4        |   12  | 0  |     False      |        1         | 8.106231689453125e-06  |  0.0   |
|        8        | 12.5 |        4        |   25  | 2  |      True      |        1         | 1.3828277587890625e-05 |  0.0   |
|        8        | 12.5 |        4        |   50  | 4  |     False      |        28        | 2.2172927856445312e-05 |  0.0   |
|        8        | 12.5 |        4        |   75  | 6  |     False      |        28        | 3.0994415283203125e-05 |  0.0   |
|        8        |  25  |        7        |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        8        |  25  |        7        |   25  | 2  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        8        |  25  |        7        |   50  | 4  |     False      |        70        | 2.5272369384765625e-05 |  0.0   |
|        8        |  25  |        7        |   75  | 6  |     False      |        70        |   3.814697265625e-05   |  0.0   |
|        8        |  50  |        14       |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        8        |  50  |        14       |   25  | 2  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        8        |  50  |        14       |   50  | 4  |     False      |        78        | 2.7179718017578125e-05 |  0.0   |
|        8        |  50  |        14       |   75  | 6  |     False      |        78        | 4.100799560546875e-05  |  0.0   |
|        8        |  75  |        21       |   12  | 0  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        8        |  75  |        21       |   25  | 2  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        8        |  75  |        21       |   50  | 4  |      True      |        42        | 2.2172927856445312e-05 |  0.0   |
|        8        |  75  |        21       |   75  | 6  |     False      |        95        |   3.814697265625e-05   |  0.0   |
|        9        | 12.5 |        4        |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        9        | 12.5 |        4        |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        9        | 12.5 |        4        |   50  | 4  |     False      |        28        |  2.09808349609375e-05  |  0.0   |
|        9        | 12.5 |        4        |   75  | 6  |     False      |        28        | 2.9802322387695312e-05 |  0.0   |
|        9        |  25  |        9        |   12  | 1  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
|        9        |  25  |        9        |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        9        |  25  |        9        |   50  | 4  |     False      |        89        | 2.8133392333984375e-05 |  0.0   |
|        9        |  25  |        9        |   75  | 6  |     False      |        89        | 4.291534423828125e-05  |  0.0   |
|        9        |  50  |        18       |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        9        |  50  |        18       |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        9        |  50  |        18       |   50  | 4  |      True      |        54        | 2.384185791015625e-05  |  0.0   |
|        9        |  50  |        18       |   75  | 6  |     False      |       109        |  4.1961669921875e-05   |  0.0   |
|        9        |  75  |        27       |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        9        |  75  |        27       |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        9        |  75  |        27       |   50  | 4  |      True      |        67        | 2.5987625122070312e-05 |  0.0   |
|        9        |  75  |        27       |   75  | 6  |     False      |       112        | 4.601478576660156e-05  |  0.0   |
|        10       | 12.5 |        6        |   12  | 1  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
|        10       | 12.5 |        6        |   25  | 2  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        10       | 12.5 |        6        |   50  | 5  |     False      |        54        | 2.4080276489257812e-05 |  0.0   |
|        10       | 12.5 |        6        |   75  | 7  |     False      |        54        | 3.528594970703125e-05  |  0.0   |
|        10       |  25  |        11       |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        10       |  25  |        11       |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        10       |  25  |        11       |   50  | 5  |     False      |       109        | 2.9802322387695312e-05 |  0.0   |
|        10       |  25  |        11       |   75  | 7  |     False      |       109        | 4.673004150390625e-05  |  0.0   |
|        10       |  50  |        22       |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        10       |  50  |        22       |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        10       |  50  |        22       |   50  | 5  |     False      |       130        | 3.2901763916015625e-05 |  0.0   |
|        10       |  50  |        22       |   75  | 7  |     False      |       130        | 5.2928924560546875e-05 |  0.0   |
|        10       |  75  |        34       |   12  | 1  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        10       |  75  |        34       |   25  | 2  |      True      |        1         | 1.2159347534179688e-05 |  0.0   |
|        10       |  75  |        34       |   50  | 5  |      True      |       104        | 3.0994415283203125e-05 |  0.0   |
|        10       |  75  |        34       |   75  | 7  |     False      |       163        | 5.507469177246094e-05  |  0.0   |
|        11       | 12.5 |        7        |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        11       | 12.5 |        7        |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        11       | 12.5 |        7        |   50  | 5  |     False      |        70        |  2.47955322265625e-05  |  0.0   |
|        11       | 12.5 |        7        |   75  | 8  |     False      |        70        | 3.886222839355469e-05  |  0.0   |
|        11       |  25  |        14       |   12  | 1  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        11       |  25  |        14       |   25  | 2  |      True      |        1         | 1.1920928955078125e-05 |  0.0   |
|        11       |  25  |        14       |   50  | 5  |     False      |       135        | 3.3855438232421875e-05 |  0.0   |
|        11       |  25  |        14       |   75  | 8  |     False      |       135        | 5.3882598876953125e-05 |  0.0   |
|        11       |  50  |        28       |   12  | 1  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        11       |  50  |        28       |   25  | 2  |      True      |        1         | 1.2874603271484375e-05 |  0.0   |
|        11       |  50  |        28       |   50  | 5  |     False      |       151        | 3.886222839355469e-05  |  0.0   |
|        11       |  50  |        28       |   75  | 8  |     False      |       151        | 6.175041198730469e-05  |  0.0   |
|        11       |  75  |        41       |   12  | 1  |      True      |        1         | 7.152557373046875e-06  |  0.0   |
|        11       |  75  |        41       |   25  | 2  |      True      |        1         | 1.2874603271484375e-05 |  0.0   |
|        11       |  75  |        41       |   50  | 5  |      True      |        18        | 2.193450927734375e-05  |  0.0   |
|        11       |  75  |        41       |   75  | 8  |     False      |       193        | 5.1975250244140625e-05 |  0.0   |
|        12       | 12.5 |        8        |   12  | 1  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        12       | 12.5 |        8        |   25  | 3  |     False      |        88        | 2.193450927734375e-05  |  0.0   |
|        12       | 12.5 |        8        |   50  | 6  |     False      |        88        | 3.695487976074219e-05  |  0.0   |
|        12       | 12.5 |        8        |   75  | 9  |     False      |        88        | 5.2928924560546875e-05 |  0.0   |
|        12       |  25  |        16       |   12  | 1  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
